CAS,Category,Year
13922-41-3,ToxicOnly,
22535-49-5,ToxicOnly,
1225193-85-0,ToxicOnly,
85916-01-4,ToxicOnly,
24860-22-8,ToxicOnly,
72162-46-0,ToxicOnly,
195384-27-1,ToxicOnly,
195384-28-2,ToxicOnly,
26134-62-3,ToxicOnly,
62566-74-9,ToxicOnly,
4635-59-0,ToxicOnly,
42867-40-3,ToxicOnly,
13466-78-9,ToxicOnly,
22083-74-5,ToxicOnly,
24636-31-5,ToxicOnly,
768-66-1,ToxicOnly,
1672739-33-1,ToxicOnly,
162627-18-1,ToxicOnly,
16962-31-5,ToxicOnly,
393110-05-9,ToxicOnly,
99591-74-9,ToxicOnly,
1331747-26-2,ToxicOnly,
1639212-96-6,ToxicOnly,
1257085-86-1,ToxicOnly,
123215-04-3,ToxicOnly,
5202-85-7,ToxicOnly,
90076-67-8,ToxicOnly,
1022939-88-3,ToxicOnly,
69094-18-4,ToxicOnly,
55566-30-8,ToxicOnly,
352-87-4,ToxicOnly,
1609-86-5,ToxicOnly,
577-16-2,ToxicOnly,
110-61-2,ToxicOnly,
431059-71-1,ToxicOnly,
144317-44-2,ToxicOnly,
1576-35-8,ToxicOnly,
870296-13-2,ToxicOnly,
258872-05-8,ToxicOnly,
757235-57-7,ToxicOnly,
13641-96-8,ToxicOnly,
34140-91-5,ToxicOnly,
59653-74-6,ToxicOnly,
